lemma,singular,plural,article,taxonomic_phrase,novel_property_is,novel_property_have,generic,remove
vacuum,vacuum cleaner,vacuum cleaners,a vacuum cleaner,are a type of,vacuum cleaners are daxable.,vacuum cleaners have daxes.,p,
shark,shark,sharks,a shark,are a type of,sharks are daxable.,sharks have daxes.,p,
tupperware,tupperware,tupperwares,tupperware,is a type of,tupperware is daxable.,tupperware has daxes.,s,
fish,fish,fish,a fish,are a type of,fish are daxable.,fish have daxes.,p,
mattress,mattress,mattresses,a mattress,are a type of,mattresses are daxable.,mattresses have daxes.,p,
hoodie,hoodie,hoodies,a hoodie,are a type of,hoodies are daxable.,hoodies have daxes.,p,
globe,globe,globes,a globe,are a type of,globes are daxable.,globes have daxes.,p,
staple gun,staple gun,staple guns,a staple gun,are a type of,staple guns are daxable.,staple guns have daxes.,p,
shovel,shovel,shovels,a shovel,are a type of,shovels are daxable.,shovels have daxes.,p,
gravy,gravy,gravies,gravy,is a type of,gravy is daxable.,gravy has daxes.,s,
alligator,alligator,alligators,an alligator,are a type of,alligators are daxable.,alligators have daxes.,p,
jug,jug,jugs,a jug,are a type of,jugs are daxable.,jugs have daxes.,p,
coral,coral,corals,a coral,are a type of,corals are daxable.,corals have daxes.,p,
bassoon,bassoon,bassoons,a bassoon,are a type of,bassoons are daxable.,bassoons have daxes.,p,
quill,quill,quills,a quill,are a type of,quills are daxable.,quills have daxes.,p,
landmine,landmine,landmines,a landmine,are a type of,landmines are daxable.,landmines have daxes.,p,
fishnet stockings,fishnet stockings,fishnet stockings,a fishnet stocking,are a type of,fishnet stockings are daxable.,fishnet stockings have daxes.,p,
puffin,puffin,puffins,a puffin,are a type of,puffins are daxable.,puffins have daxes.,p,
overalls,overalls,overalls,overalls,are a type of,overalls are daxable.,overalls have daxes.,p,
lavender,lavender,lavenders,a lavender,are a type of,lavenders are daxable.,lavenders have daxes.,p,
potpourri,potpourri,potpourris,a potpourri,are a type of,potpourris are daxable.,potpourris have daxes.,p,
panther,panther,panthers,a panther,are a type of,panthers are daxable.,panthers have daxes.,p,
bok choy,bok choy,bok choys,a bok choy,are a type of,bok choys are daxable.,bok choys have daxes.,p,
hook,hook,hooks,a hook,are a type of,hooks are daxable.,hooks have daxes.,p,
sushi,sushi,sushis,sushi,is a type of,sushi is daxable.,sushi has daxes.,s,
thermometer,thermometer,thermometers,a thermometer,are a type of,thermometers are daxable.,thermometers have daxes.,p,
cabinet,cabinet,cabinets,a cabinet,are a type of,cabinets are daxable.,cabinets have daxes.,p,
slug,slug,slugs,a slug,are a type of,slugs are daxable.,slugs have daxes.,p,
notepad,notepad,notepads,a notepad,are a type of,notepads are daxable.,notepads have daxes.,p,
insect,insect,insects,an insect,are a type of,insects are daxable.,insects have daxes.,p,
seagull,seagull,seagulls,a seagull,are a type of,seagulls are daxable.,seagulls have daxes.,p,
mousse,mousse,mousse,mousse,is a type of,mousse is daxable.,mousse has daxes.,s,
raft,raft,rafts,a raft,are a type of,rafts are daxable.,rafts have daxes.,p,
speedboat,speedboat,speedboats,a speedboat,are a type of,speedboats are daxable.,speedboats have daxes.,p,
lego,lego,legos,a lego,are a type of,legos are daxable.,legos have daxes.,p,
leopard,leopard,leopards,a leopard,are a type of,leopards are daxable.,leopards have daxes.,p,
eel,eel,eels,an eel,are a type of,eels are daxable.,eels have daxes.,p,
poppy,poppy,poppies,a poppy,are a type of,poppies are daxable.,poppies have daxes.,p,
hairpin,hairpin,hairpins,a hairpin,are a type of,hairpins are daxable.,hairpins have daxes.,p,
kneepad,kneepad,kneepads,a kneepad,are a type of,kneepads are daxable.,kneepads have daxes.,p,
sling,sling,slings,a sling,are a type of,slings are daxable.,slings have daxes.,p,
duster,duster,dusters,a duster,are a type of,dusters are daxable.,dusters have daxes.,p,
bottle opener,bottle opener,bottle openers,a bottle opener,are a type of,bottle openers are daxable.,bottle openers have daxes.,p,
ski boots,ski boots,ski boots,ski boots,are a type of,ski boots are daxable.,ski boots have daxes.,p,
cage,cage,cages,a cage,are a type of,cages are daxable.,cages have daxes.,p,
wetsuit,wetsuit,wetsuits,a wetsuit,are a type of,wetsuits are daxable.,wetsuits have daxes.,p,
possum,possum,possums,a possum,are a type of,possums are daxable.,possums have daxes.,p,
yo-yo,yo-yo,yo-yos,a yo-yo,are a type of,yo-yos are daxable.,yo-yos have daxes.,p,
screen,screen,screens,a screen,are a type of,screens are daxable.,screens have daxes.,p,
scallion,scallion,scallions,a scallion,are a type of,scallions are daxable.,scallions have daxes.,p,
crowbar,crowbar,crowbars,a crowbar,are a type of,crowbars are daxable.,crowbars have daxes.,p,
piecrust,piecrust,piecrusts,a piecrust,are a type of,piecrusts are daxable.,piecrusts have daxes.,p,
cauliflower,cauliflower,cauliflowers,a cauliflower,are a type of,cauliflowers are daxable.,cauliflowers have daxes.,p,
chive,chive,chives,a chive,are a type of,chives are daxable.,chives have daxes.,p,
pillow,pillow,pillows,a pillow,are a type of,pillows are daxable.,pillows have daxes.,p,
grapevine,grapevine,grapevines,a grapevine,are a type of,grapevines are daxable.,grapevines have daxes.,p,
bonsai,bonsai,bonsai,bonsai,are a type of,bonsai are daxable.,bonsai have daxes.,p,
insole,insole,insoles,an insole,are a type of,insoles are daxable.,insoles have daxes.,p,
kitten,kitten,kittens,a kitten,are a type of,kittens are daxable.,kittens have daxes.,p,
wire,wire,wires,a wire,are a type of,wires are daxable.,wires have daxes.,p,
abacus,abacus,abacuses,an abacus,are a type of,abacuses are daxable.,abacuses have daxes.,p,
bagel,bagel,bagels,a bagel,are a type of,bagels are daxable.,bagels have daxes.,p,
truck,truck,trucks,a truck,are a type of,trucks are daxable.,trucks have daxes.,p,
flamethrower,flamethrower,flamethrowers,a flamethrower,are a type of,flamethrowers are daxable.,flamethrowers have daxes.,p,
scissors,scissors,scissors,a scissors,are a type of,scissors are daxable.,scissors have daxes.,p,
bowl,bowl,bowls,a bowl,are a type of,bowls are daxable.,bowls have daxes.,p,
top hat,top hat,top hats,a top hat,are a type of,top hats are daxable.,top hats have daxes.,p,
chandelier,chandelier,chandeliers,a chandelier,are a type of,chandeliers are daxable.,chandeliers have daxes.,p,
hubcap,hubcap,hubcaps,a hubcap,are a type of,hubcaps are daxable.,hubcaps have daxes.,p,
pedal,pedal,pedals,a pedal,are a type of,pedals are daxable.,pedals have daxes.,p,
fur coat,fur coat,fur coats,a fur coat,are a type of,fur coats are daxable.,fur coats have daxes.,p,
oyster,oyster,oysters,an oyster,are a type of,oysters are daxable.,oysters have daxes.,p,
weasel,weasel,weasels,a weasel,are a type of,weasels are daxable.,weasels have daxes.,p,
inhaler,inhaler,inhalers,an inhaler,are a type of,inhalers are daxable.,inhalers have daxes.,p,
measuring cup,measuring cup,measuring cups,a measuring cup,are a type of,measuring cups are daxable.,measuring cups have daxes.,p,
polisher,polisher,polishers,a polisher,are a type of,polishers are daxable.,polishers have daxes.,p,
slingshot,slingshot,slingshots,a slingshot,are a type of,slingshots are daxable.,slingshots have daxes.,p,
component,component,components,a component,are a type of,components are daxable.,components have daxes.,p,
sweater,sweater,sweaters,a sweater,are a type of,sweaters are daxable.,sweaters have daxes.,p,
headrest,headrest,headrests,a headrest,are a type of,headrests are daxable.,headrests have daxes.,p,
avocado,avocado,avocados,an avocado,are a type of,avocados are daxable.,avocados have daxes.,p,
elephant,elephant,elephants,an elephant,are a type of,elephants are daxable.,elephants have daxes.,p,
sloth,sloth,sloths,a sloth,are a type of,sloths are daxable.,sloths have daxes.,p,
trunk,trunk,trunks,a trunk,are a type of,trunks are daxable.,trunks have daxes.,p,
rollerblade,rollerblade,rollerblades,a rollerblade,are a type of,rollerblades are daxable.,rollerblades have daxes.,p,
nail polish,nail polish,nail polishes,nail polish,is a type of,nail polish is daxable.,nail polish has daxes.,s,
shears,shears,shears,a shears,are a type of,shears are daxable.,shears have daxes.,p,
grits,grits,grits,grits,are a type of,grits are daxable.,grits have daxes.,p,
polo shirt,polo shirt,polo shirts,a polo shirt,are a type of,polo shirts are daxable.,polo shirts have daxes.,p,
french horn,french horn,french horns,a french horn,are a type of,french horns are daxable.,french horns have daxes.,p,
toilet paper,toilet paper,toilet papers,toilet paper,is a type of,toilet paper is daxable.,toilet paper has daxes.,s,
hot chocolate,hot chocolate,hot chocolates,hot chocolate,is a type of,hot chocolate is daxable.,hot chocolate has daxes.,s,
bell pepper,bell pepper,bell peppers,a bell pepper,are a type of,bell peppers are daxable.,bell peppers have daxes.,p,
scorpion,scorpion,scorpions,a scorpion,are a type of,scorpions are daxable.,scorpions have daxes.,p,
pinecone,pinecone,pinecones,a pinecone,are a type of,pinecones are daxable.,pinecones have daxes.,p,
hamster,hamster,hamsters,a hamster,are a type of,hamsters are daxable.,hamsters have daxes.,p,
creme brulee,creme brulee,creme brulees,creme brulee,is a type of,creme brulee is daxable.,creme brulee has daxes.,s,
kiwi,kiwi,kiwis,a kiwi,are a type of,kiwis are daxable.,kiwis have daxes.,p,
swan,swan,swans,a swan,are a type of,swans are daxable.,swans have daxes.,p,
melon,melon,melons,a melon,are a type of,melons are daxable.,melons have daxes.,p,
stapler,stapler,staplers,a stapler,are a type of,staplers are daxable.,staplers have daxes.,p,
toast,toast,toasts,toast,is a type of,toast is daxable.,toast has daxes.,s,
eyeliner,eyeliner,eyeliners,an eyeliner,are a type of,eyeliners are daxable.,eyeliners have daxes.,p,
puppy,puppy,puppies,a puppy,are a type of,puppies are daxable.,puppies have daxes.,p,
catfish,catfish,catfish,catfish,are a type of,catfish are daxable.,catfish have daxes.,p,
air mattress,air mattress,air mattresses,an air mattress,are a type of,air mattresses are daxable.,air mattresses have daxes.,p,
taco,taco,tacos,a taco,are a type of,tacos are daxable.,tacos have daxes.,p,
mushroom,mushroom,mushrooms,a mushroom,are a type of,mushrooms are daxable.,mushrooms have daxes.,p,
fountain pen,fountain pen,fountain pens,a fountain pen,are a type of,fountain pens are daxable.,fountain pens have daxes.,p,
jar,jar,jars,a jar,are a type of,jars are daxable.,jars have daxes.,p,
bullet,bullet,bullets,a bullet,are a type of,bullets are daxable.,bullets have daxes.,p,
soda,soda,sodas,a soda,are a type of,sodas are daxable.,sodas have daxes.,p,
penguin,penguin,penguins,a penguin,are a type of,penguins are daxable.,penguins have daxes.,p,
swimsuit,swimsuit,swimsuits,a swimsuit,are a type of,swimsuits are daxable.,swimsuits have daxes.,p,
hood,hood,hoods,a hood,are a type of,hoods are daxable.,hoods have daxes.,p,
ship,ship,ships,a ship,are a type of,ships are daxable.,ships have daxes.,p,
wok,wok,woks,a wok,are a type of,woks are daxable.,woks have daxes.,p,
garlic,garlic,garlics,a garlic,is a type of,a garlic is daxable.,a garlic has daxes.,s,
cord,cord,cords,a cord,are a type of,cords are daxable.,cords have daxes.,p,
squeegee,squeegee,squeegees,a squeegee,are a type of,squeegees are daxable.,squeegees have daxes.,p,1
ashtray,ashtray,ashtrays,an ashtray,are a type of,ashtrays are daxable.,ashtrays have daxes.,p,
squirrel,squirrel,squirrels,a squirrel,are a type of,squirrels are daxable.,squirrels have daxes.,p,
crossbow,crossbow,crossbows,a crossbow,are a type of,crossbows are daxable.,crossbows have daxes.,p,
coverall,coverall,coveralls,a coverall,are a type of,coveralls are daxable.,coveralls have daxes.,p,
cheeseburger,cheeseburger,cheeseburgers,a cheeseburger,are a type of,cheeseburgers are daxable.,cheeseburgers have daxes.,p,
nutcracker,nutcracker,nutcrackers,a nutcracker,are a type of,nutcrackers are daxable.,nutcrackers have daxes.,p,
carrot,carrot,carrots,a carrot,are a type of,carrots are daxable.,carrots have daxes.,p,
grapefruit,grapefruit,grapefruits,a grapefruit,are a type of,grapefruits are daxable.,grapefruits have daxes.,p,
birthday cake,birthday cake,birthday cakes,a birthday cake,are a type of,birthday cakes are daxable.,birthday cakes have daxes.,p,
machete,machete,machetes,a machete,are a type of,machetes are daxable.,machetes have daxes.,p,
microwave,microwave,microwaves,a microwave,are a type of,microwaves are daxable.,microwaves have daxes.,p,
boomerang,boomerang,boomerangs,a boomerang,are a type of,boomerangs are daxable.,boomerangs have daxes.,p,
papaya,papaya,papayas,a papaya,are a type of,papayas are daxable.,papayas have daxes.,p,
gurney,gurney,gurneys,a gurney,are a type of,gurneys are daxable.,gurneys have daxes.,p,1
fly,fly,flies,a fly,are a type of,flies are daxable.,flies have daxes.,p,
mango,mango,mangoes,a mango,are a type of,mangoes are daxable.,mangoes have daxes.,p,
pitcher,pitcher,pitchers,a pitcher,are a type of,pitchers are daxable.,pitchers have daxes.,p,
pheasant,pheasant,pheasants,a pheasant,are a type of,pheasants are daxable.,pheasants have daxes.,p,
life jacket,life jacket,life jackets,a life jacket,are a type of,life jackets are daxable.,life jackets have daxes.,p,
cardigan,cardigan,cardigans,a cardigan,are a type of,cardigans are daxable.,cardigans have daxes.,p,
honeypot,honeypot,honeypots,a honeypot,are a type of,honeypots are daxable.,honeypots have daxes.,p,
spam,spam,spams,spam,is a type of,spam is daxable.,spam has daxes.,s,
wheelchair,wheelchair,wheelchairs,a wheelchair,are a type of,wheelchairs are daxable.,wheelchairs have daxes.,p,
tractor,tractor,tractors,a tractor,are a type of,tractors are daxable.,tractors have daxes.,p,
mashed potato,mashed potato,mashed potatoes,a mashed potato,are a type of,mashed potatoes are daxable.,mashed potatoes have daxes.,p,
timer,timer,timers,a timer,are a type of,timers are daxable.,timers have daxes.,p,
bell,bell,bells,a bell,are a type of,bells are daxable.,bells have daxes.,p,
jeep,jeep,jeeps,a jeep,are a type of,jeeps are daxable.,jeeps have daxes.,p,
vial,vial,vials,a vial,are a type of,vials are daxable.,vials have daxes.,p,
hinge,hinge,hinges,a hinge,are a type of,hinges are daxable.,hinges have daxes.,p,
aquarium,aquarium,aquariums,an aquarium,are a type of,aquariums are daxable.,aquariums have daxes.,p,
ladle,ladle,ladles,a ladle,are a type of,ladles are daxable.,ladles have daxes.,p,
paperclip,paperclip,paperclips,a paperclip,are a type of,paperclips are daxable.,paperclips have daxes.,p,
footbath,footbath,footbaths,a footbath,are a type of,footbaths are daxable.,footbaths have daxes.,p,
stained glass,stained glass,stained glasses,stained glass,is a type of,stained glass is daxable.,stained glass has daxes.,s,
snowsuit,snowsuit,snowsuits,a snowsuit,are a type of,snowsuits are daxable.,snowsuits have daxes.,p,
vase,vase,vases,a vase,are a type of,vases are daxable.,vases have daxes.,p,
notebook,notebook,notebooks,a notebook,are a type of,notebooks are daxable.,notebooks have daxes.,p,
cuckoo clock,cuckoo clock,cuckoo clocks,a cuckoo clock,are a type of,cuckoo clocks are daxable.,cuckoo clocks have daxes.,p,
marble,marble,marbles,a marble,are a type of,marbles are daxable.,marbles have daxes.,p,
jukebox,jukebox,jukeboxes,a jukebox,are a type of,jukeboxes are daxable.,jukeboxes have daxes.,p,
sweet,sweet,sweets,a sweet,are a type of,sweets are daxable.,sweets have daxes.,p,
wine bottle,wine bottle,wine bottles,a wine bottle,are a type of,wine bottles are daxable.,wine bottles have daxes.,p,
bed,bed,beds,a bed,are a type of,beds are daxable.,beds have daxes.,p,
steak,steak,steaks,a steak,are a type of,steaks are daxable.,steaks have daxes.,p,
filing cabinet,filing cabinet,filing cabinets,a filing cabinet,are a type of,filing cabinets are daxable.,filing cabinets have daxes.,p,
peanut,peanut,peanuts,a peanut,are a type of,peanuts are daxable.,peanuts have daxes.,p,
slipper,slipper,slippers,a slipper,are a type of,slippers are daxable.,slippers have daxes.,p,
coyote,coyote,coyotes,a coyote,are a type of,coyotes are daxable.,coyotes have daxes.,p,
squirt gun,squirt gun,squirt guns,a squirt gun,are a type of,squirt guns are daxable.,squirt guns have daxes.,p,
strainer,strainer,strainers,a strainer,are a type of,strainers are daxable.,strainers have daxes.,p,
robot,robot,robots,a robot,are a type of,robots are daxable.,robots have daxes.,p,
octopus,octopus,octopuses,an octopus,is a type of,an octopus is daxable.,an octopus has daxes.,s,
barrel,barrel,barrels,a barrel,are a type of,barrels are daxable.,barrels have daxes.,p,
walker,walker,walkers,a walker,are a type of,walkers are daxable.,walkers have daxes.,p,
bat,bat,bats,a bat,are a type of,bats are daxable.,bats have daxes.,p,
seal,seal,seals,a seal,are a type of,seals are daxable.,seals have daxes.,p,
stroller,stroller,strollers,a stroller,are a type of,strollers are daxable.,strollers have daxes.,p,
freezer,freezer,freezers,a freezer,are a type of,freezers are daxable.,freezers have daxes.,p,
meerkat,meerkat,meerkats,a meerkat,are a type of,meerkats are daxable.,meerkats have daxes.,p,
robe,robe,robes,a robe,are a type of,robes are daxable.,robes have daxes.,p,
fox,fox,foxes,a fox,are a type of,foxes are daxable.,foxes have daxes.,p,
penlight,penlight,penlights,a penlight,are a type of,penlights are daxable.,penlights have daxes.,p,
trolley,trolley,trolleys,a trolley,are a type of,trolleys are daxable.,trolleys have daxes.,p,
nacho,nacho,nachos,a nacho,are a type of,nachos are daxable.,nachos have daxes.,p,
turntable,turntable,turntables,a turntable,are a type of,turntables are daxable.,turntables have daxes.,p,
shaving cream,shaving cream,shaving creams,shaving cream,is a type of,shaving cream is daxable.,shaving cream has daxes.,s,
shredder,shredder,shredders,a shredder,are a type of,shredders are daxable.,shredders have daxes.,p,
guacamole,guacamole,guacamoles,guacamole,is a type of,guacamole is daxable.,guacamole has daxes.,s,
quad,quad,quads,a quad,are a type of,quads are daxable.,quads have daxes.,p,
fruitcake,fruitcake,fruitcakes,a fruitcake,are a type of,fruitcakes are daxable.,fruitcakes have daxes.,p,
sewing machine,sewing machine,sewing machines,a sewing machine,are a type of,sewing machines are daxable.,sewing machines have daxes.,p,
kitchen tool,kitchen tool,kitchen tools,a kitchen tool,are a type of,kitchen tools are daxable.,kitchen tools have daxes.,p,
corsage,corsage,corsages,a corsage,are a type of,corsages are daxable.,corsages have daxes.,p,
rolling pin,rolling pin,rolling pins,a rolling pin,are a type of,rolling pins are daxable.,rolling pins have daxes.,p,
giraffe,giraffe,giraffes,a giraffe,are a type of,giraffes are daxable.,giraffes have daxes.,p,
tack,tack,tacks,a tack,are a type of,tacks are daxable.,tacks have daxes.,p,1
noodle,noodle,noodles,a noodle,are a type of,noodles are daxable.,noodles have daxes.,p,
cactus,cactus,cactii,a cactus,is a type of,a cactus is daxable.,a cactus has daxes.,s,
antelope,antelope,antelopes,an antelope,are a type of,antelopes are daxable.,antelopes have daxes.,p,
axe,axe,axes,an axe,are a type of,axes are daxable.,axes have daxes.,p,
razor blade,razor blade,razor blades,a razor blade,are a type of,razor blades are daxable.,razor blades have daxes.,p,
hummingbird,hummingbird,hummingbirds,a hummingbird,are a type of,hummingbirds are daxable.,hummingbirds have daxes.,p,
seaweed,seaweed,seaweeds,a seaweed,are a type of,seaweeds are daxable.,seaweeds have daxes.,p,
cashew,cashew,cashews,a cashew,are a type of,cashews are daxable.,cashews have daxes.,p,
armor,armor,armors,armor,is a type of,armor is daxable.,armor has daxes.,s,
tostada,tostada,tostadas,a tostada,are a type of,tostadas are daxable.,tostadas have daxes.,p,
spring roll,spring roll,spring rolls,a spring roll,are a type of,spring rolls are daxable.,spring rolls have daxes.,p,
chime,chime,chimes,a chime,are a type of,chimes are daxable.,chimes have daxes.,p,
lion,lion,lions,a lion,are a type of,lions are daxable.,lions have daxes.,p,
meatball,meatball,meatballs,a meatball,are a type of,meatballs are daxable.,meatballs have daxes.,p,
christmas tree,christmas tree,christmas trees,a christmas tree,are a type of,christmas trees are daxable.,christmas trees have daxes.,p,
rooster,rooster,roosters,a rooster,are a type of,roosters are daxable.,roosters have daxes.,p,
maggot,maggot,maggots,a maggot,are a type of,maggots are daxable.,maggots have daxes.,p,
terrarium,terrarium,terrariums,a terrarium,are a type of,terrariums are daxable.,terrariums have daxes.,p,
dandelion,dandelion,dandelions,a dandelion,are a type of,dandelions are daxable.,dandelions have daxes.,p,
croissant,croissant,croissants,a croissant,are a type of,croissants are daxable.,croissants have daxes.,p,
velcro,velcro,velcros,a velcro,are a type of,velcros are daxable.,velcros have daxes.,p,
broom,broom,brooms,a broom,are a type of,brooms are daxable.,brooms have daxes.,p,
strap,strap,straps,a strap,are a type of,straps are daxable.,straps have daxes.,p,
clover,clover,clovers,a clover,are a type of,clovers are daxable.,clovers have daxes.,p,
candle,candle,candles,a candle,are a type of,candles are daxable.,candles have daxes.,p,
tadpole,tadpole,tadpoles,a tadpole,are a type of,tadpoles are daxable.,tadpoles have daxes.,p,
breakfast,breakfast,breakfasts,a breakfast,are a type of,breakfasts are daxable.,breakfasts have daxes.,p,?
clothes,clothes,clothes,clothes,are a type of,clothes are daxable.,clothes have daxes.,p,
tape recorder,tape recorder,tape recorders,a tape recorder,are a type of,tape recorders are daxable.,tape recorders have daxes.,p,
cash machine,cash machine,cash machines,a cash machine,are a type of,cash machines are daxable.,cash machines have daxes.,p,
necklace,necklace,necklaces,a necklace,are a type of,necklaces are daxable.,necklaces have daxes.,p,
bamboo,bamboo,bamboos,a bamboo,are a type of,bamboos are daxable.,bamboos have daxes.,p,
hammer,hammer,hammers,a hammer,are a type of,hammers are daxable.,hammers have daxes.,p,
anteater,anteater,anteaters,an anteater,are a type of,anteaters are daxable.,anteaters have daxes.,p,
domino,domino,dominoes,a domino,are a type of,dominoes are daxable.,dominoes have daxes.,p,
guitar,guitar,guitars,a guitar,are a type of,guitars are daxable.,guitars have daxes.,p,
blazer,blazer,blazers,a blazer,are a type of,blazers are daxable.,blazers have daxes.,p,
costume,costume,costumes,a costume,are a type of,costumes are daxable.,costumes have daxes.,p,
prune,prune,prunes,a prune,are a type of,prunes are daxable.,prunes have daxes.,p,
mulberry,mulberry,mulberries,a mulberry,are a type of,mulberries are daxable.,mulberries have daxes.,p,
football helmet,football helmet,football helmets,a football helmet,are a type of,football helmets are daxable.,football helmets have daxes.,p,
suit,suit,suits,a suit,are a type of,suits are daxable.,suits have daxes.,p,
lobster,lobster,lobsters,a lobster,are a type of,lobsters are daxable.,lobsters have daxes.,p,
centrifuge,centrifuge,centrifuges,a centrifuge,are a type of,centrifuges are daxable.,centrifuges have daxes.,p,
pencil,pencil,pencils,a pencil,are a type of,pencils are daxable.,pencils have daxes.,p,
stilt,stilt,stilts,a stilt,are a type of,stilts are daxable.,stilts have daxes.,p,
juice,juice,juices,a juice,are a type of,juices are daxable.,juices have daxes.,p,
crepe,crepe,crepes,a crepe,are a type of,crepes are daxable.,crepes have daxes.,p,
catapult,catapult,catapults,a catapult,are a type of,catapults are daxable.,catapults have daxes.,p,
asparagus,asparagus,asparaguses,asparagus,is a type of,asparagus is daxable.,asparagus has daxes.,s,
binder,binder,binders,a binder,are a type of,binders are daxable.,binders have daxes.,p,
cocktail,cocktail,cocktails,a cocktail,are a type of,cocktails are daxable.,cocktails have daxes.,p,
workbench,workbench,workbenches,a workbench,are a type of,workbenches are daxable.,workbenches have daxes.,p,
bandana,bandana,bandanas,a bandana,are a type of,bandanas are daxable.,bandanas have daxes.,p,
windshield wiper,windshield wiper,windshield wipers,a windshield wiper,are a type of,windshield wipers are daxable.,windshield wipers have daxes.,p,
rabbit,rabbit,rabbits,a rabbit,are a type of,rabbits are daxable.,rabbits have daxes.,p,
pencil sharpener,pencil sharpener,pencil sharpeners,a pencil sharpener,are a type of,pencil sharpeners are daxable.,pencil sharpeners have daxes.,p,
apron,apron,aprons,an apron,are a type of,aprons are daxable.,aprons have daxes.,p,
shuffleboard,shuffleboard,shuffleboards,a shuffleboard,are a type of,shuffleboards are daxable.,shuffleboards have daxes.,p,
punch,fruit punch,fruit punches,fruit punch,are a type of,fruit punches are daxable.,fruit punches have daxes.,p,
aloe,aloe,aloes,aloe,is a type of,aloe is daxable.,aloe has daxes.,s,
stool,stool,stools,a stool,are a type of,stools are daxable.,stools have daxes.,p,
dollhouse,dollhouse,dollhouses,a dollhouse,are a type of,dollhouses are daxable.,dollhouses have daxes.,p,
sofa bed,sofa bed,sofa beds,a sofa bed,are a type of,sofa beds are daxable.,sofa beds have daxes.,p,
berry,berry,berries,a berry,are a type of,berries are daxable.,berries have daxes.,p,
syrup,syrup,syrups,a syrup,are a type of,syrups are daxable.,syrups have daxes.,p,
cruise ship,cruise ship,cruise ships,a cruise ship,are a type of,cruise ships are daxable.,cruise ships have daxes.,p,
duct,duct,ducts,a duct,are a type of,ducts are daxable.,ducts have daxes.,p,
dumpster,dumpster,dumpsters,a dumpster,are a type of,dumpsters are daxable.,dumpsters have daxes.,p,
book,book,books,a book,are a type of,books are daxable.,books have daxes.,p,
bathtub,bathtub,bathtubs,a bathtub,are a type of,bathtubs are daxable.,bathtubs have daxes.,p,
gumball,gumball,gumballs,a gumball,are a type of,gumballs are daxable.,gumballs have daxes.,p,
sarcophagus,sarcophagus,sarcophagi,a sarcophagus,are a type of,sarcophagi are daxable.,sarcophagi have daxes.,p,
engine,engine,engines,an engine,are a type of,engines are daxable.,engines have daxes.,p,
tarantula,tarantula,tarantulas,a tarantula,are a type of,tarantulas are daxable.,tarantulas have daxes.,p,
lime,lime,limes,a lime,are a type of,limes are daxable.,limes have daxes.,p,
connector,connector,connectors,a connector,are a type of,connectors are daxable.,connectors have daxes.,p,
lip gloss,lip gloss,lip glosses,a lip gloss,are a type of,lip glosses are daxable.,lip glosses have daxes.,p,
doily,doily,doilies,a doily,are a type of,doilies are daxable.,doilies have daxes.,p,
gauze,gauze,gauzes,gauze,are a type of,gauzes are daxable.,gauzes have daxes.,p,
milk,milk,milks,milk,is a type of,milk is daxable.,milk has daxes.,s,
combination lock,combination lock,combination locks,a combination lock,are a type of,combination locks are daxable.,combination locks have daxes.,p,
cantaloupe,cantaloupe,cantaloupes,a cantaloupe,are a type of,cantaloupes are daxable.,cantaloupes have daxes.,p,
owl,owl,owls,an owl,are a type of,owls are daxable.,owls have daxes.,p,
pan,pan,pans,a pan,are a type of,pans are daxable.,pans have daxes.,p,
cookie,cookie,cookies,a cookie,are a type of,cookies are daxable.,cookies have daxes.,p,
airbag,airbag,airbags,an airbag,are a type of,airbags are daxable.,airbags have daxes.,p,
magnifier,magnifier,magnifiers,a magnifier,are a type of,magnifiers are daxable.,magnifiers have daxes.,p,
pen,pen,pens,a pen,are a type of,pens are daxable.,pens have daxes.,p,
doorknocker,doorknocker,doorknockers,a doorknocker,are a type of,doorknockers are daxable.,doorknockers have daxes.,p,
bin,bin,bins,a bin,are a type of,bins are daxable.,bins have daxes.,p,
speedometer,speedometer,speedometers,a speedometer,are a type of,speedometers are daxable.,speedometers have daxes.,p,
piano,piano,pianos,a piano,are a type of,pianos are daxable.,pianos have daxes.,p,
shower cap,shower cap,shower caps,a shower cap,are a type of,shower caps are daxable.,shower caps have daxes.,p,
whisk,whisk,whisks,a whisk,are a type of,whisks are daxable.,whisks have daxes.,p,
jewelry,jewelry,jewelries,jewelry,is a type of,jewelry is daxable.,jewelry has daxes.,s,
marmalade,marmalade,marmalades,marmalade,is a type of,marmalade is daxable.,marmalade has daxes.,s,
locket,locket,lockets,a locket,are a type of,lockets are daxable.,lockets have daxes.,p,
matchbox,matchbox,matchboxes,a matchbox,are a type of,matchboxes are daxable.,matchboxes have daxes.,p,
harp,harp,harps,a harp,are a type of,harps are daxable.,harps have daxes.,p,
poodle,poodle,poodles,a poodle,are a type of,poodles are daxable.,poodles have daxes.,p,
bear,bear,bears,a bear,are a type of,bears are daxable.,bears have daxes.,p,
bush,bush,bushes,a bush,are a type of,bushes are daxable.,bushes have daxes.,p,
wallpaper,wallpaper,wallpapers,a wallpaper,are a type of,wallpapers are daxable.,wallpapers have daxes.,p,
sandpaper,sandpaper,sandpapers,a sandpaper,are a type of,sandpapers are daxable.,sandpapers have daxes.,p,
cardinal,cardinal,cardinals,a cardinal,are a type of,cardinals are daxable.,cardinals have daxes.,p,
ladder,ladder,ladders,a ladder,are a type of,ladders are daxable.,ladders have daxes.,p,
yacht,yacht,yachts,a yacht,are a type of,yachts are daxable.,yachts have daxes.,p,
